n,mode,operation,ncp
1,strict,deterministic,0
2,strict,deterministic,0.0854
2,strict,deterministic,0.0776
2,strict,deterministic,0.0914
3,strict,deterministic,0.1743
3,strict,deterministic,0.1677
3,strict,deterministic,0.1699
4,strict,deterministic,0.2017
4,strict,deterministic,0.2033
4,strict,deterministic,0.2003
5,strict,deterministic,0.2924
5,strict,deterministic,0.292
5,strict,deterministic,0.292
6,strict,deterministic,0.3231
6,strict,deterministic,0.329
6,strict,deterministic,0.3232
7,strict,deterministic,0.3418
7,strict,deterministic,0.2948
7,strict,deterministic,0.3103
8,strict,deterministic,0.3385
8,strict,deterministic,0.3401
8,strict,deterministic,0.3422
9,strict,deterministic,0.3763
9,strict,deterministic,0.3362
9,strict,deterministic,0.3402
10,strict,deterministic,0.4807
10,strict,deterministic,0.4793
10,strict,deterministic,0.4821
15,strict,deterministic,0.4797
15,strict,deterministic,0.4793
15,strict,deterministic,0.4821
20,strict,deterministic,0.7401
20,strict,deterministic,0.7388
20,strict,deterministic,0.7374
74,strict,deterministic,1
1,relaxed,deterministic,0
2,relaxed,deterministic,0.1058
2,relaxed,deterministic,0.0912
2,relaxed,deterministic,0.103
3,relaxed,deterministic,0.2031
3,relaxed,deterministic,0.2046
3,relaxed,deterministic,0.2014
4,relaxed,deterministic,0.2066
4,relaxed,deterministic,0.201
4,relaxed,deterministic,0.2071
5,relaxed,deterministic,0.3059
5,relaxed,deterministic,0.3079
5,relaxed,deterministic,0.3068
6,relaxed,deterministic,0.3295
6,relaxed,deterministic,0.3315
6,relaxed,deterministic,0.3358
7,relaxed,deterministic,0.3313
7,relaxed,deterministic,0.3362
7,relaxed,deterministic,0.3289
8,relaxed,deterministic,0.3341
8,relaxed,deterministic,0.3358
8,relaxed,deterministic,0.3338
9,relaxed,deterministic,0.3328
9,relaxed,deterministic,0.3341
9,relaxed,deterministic,0.3293
10,relaxed,deterministic,0.4908
10,relaxed,deterministic,0.4821
10,relaxed,deterministic,0.4861
15,relaxed,deterministic,0.4908
15,relaxed,deterministic,0.4861
15,relaxed,deterministic,0.4909
20,relaxed,deterministic,0.7426
20,relaxed,deterministic,0.7348
20,relaxed,deterministic,0.7401
74,relaxed,deterministic,1
1,strict,randomized,0
2,strict,randomized,0.077
3,strict,randomized,0.1501
4,strict,randomized,0.1818
5,strict,randomized,0.2509
6,strict,randomized,0.2956
7,strict,randomized,0.2956
8,strict,randomized,0.3103
9,strict,randomized,0.3117
10,strict,randomized,0.4766
15,strict,randomized,0.4792
20,strict,randomized,0.7348
